Chi?u cao (mét),Cân n?ng (Kg) ví d?: 65,S? b?a ?n trong ngày,T?n su?t ?n sáng trong tu?n (??c tính bu?i/tu?n),T?n su?t ?n t?i (sau 21h) trong tu?n (??c tính b?a/tu?n),"T?n su?t s? d?ng th?c ?n nhanh nh? pizza, hamburger (??c tính b?a/tu?n)",L??ng rau c? tiêu th? trong m?i b?a ?n (??c tính gam/b?a ?n),L??ng n??c tiêu th? m?i ngày (??c tính lít/ngày),"Tiêu th? th?c ph?m giàu protein nh?: Th?t bò, th?t gà, phô mai, tr?ng, s?a... (??c tính gam/b?a ?n)",Th?i gian t?p th? d?c trong tu?n (??c tính gi?/tu?n),T?n su?t tham gia các ho?t ??ng th? d?c th? thao (??c tính gi?/tu?n),T?n su?t s? d?ng r??u bia và ?? u?ng có c?n,Hút thu?c lá và các lo?i thu?c ch?a nicotine,Th?i gian ng? trung bình m?i ngày (ti?ng/ngày),Yêu c?u v? ho?t ??ng th? ch?t (lao ??ng chân tay) trong công vi?c hi?n t?i,Khu v?c s?ng có công viên không,"Th?i gian s? d?ng thi?t b? công ngh? (?i?n tho?i, máy tính. laptop...) trong ngày (gi?/ngày)","Tr?m c?m, lo âu và các v?n ?? không ?n ??nh tâm lý"
1m75,64kg,2,T? 1 - 3 b?a/tu?n,Không ?n,Không ?n,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Không,Không,4-5 ti?ng,1,Có,6 7 ti?ng,Không
1m67,63kg,3,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,T? 1 - 3 gi?,D??i 2 gi?,Không,Không,6h,5,Có,5 gi?,Không
1m50,35,2,T? 1 - 3 b?a/tu?n,Không ?n,Không ?n,Ít h?n 50 gram,Ít h?n 1 lít,Ít h?n 50 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,3h,3,Không,Kho?ng 4h,Có
170 cm,52 kg,3,M?i ngày,T? 1 - 3 b?a/tu?n,Không ?n,Ít h?n 50 gram,T? 1 - 2 lít,Trên 100 gram,G?n nh? không,T? 2 - 4 gi?,Không,Không,7h-8h,3,Có,3h-4h,Có
170cm,55,3,M?i ngày,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,Trên 100 gram,T? 1 - 3 gi?,D??i 2 gi?,Không,Không,8,2,Có,5,Không
1.53,43,3,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Ít,Không,7 ti?ng,3,Không,4/24,Không
165,40,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,Ít h?n 50 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Không,Không,8 ti?ng ,2,Không,3 gi?,Không
160cm,57kg,2,T? 1 - 3 b?a/tu?n,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,Ít h?n 50 gram,D??i 1 gi?,G?n nh? không,Không,Không,9 ti?ng,1,Không,4-5 gi?/ngày,Không
1m67,68,3,T? 3 - 6 b?a/tu?n,M?i ngày,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Không,Không,8h,4,Không,2 gi?? ,Không
153cm,37,2,Không ?n,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Không,Không,8h,3,Không,5h/ngay,Không
160,52,3,M?i ngày,M?i ngày,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 2 - 3 lít,Trên 100 gram,Trên 3 gi?,Trên 4 gi?,Không,Không,6,1,Có,12/24,Không
1m67,45kg,2,Không ?n,Không ?n,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,Ít h?n 1 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Ít,Không,2-3 gi?,2,Không,4gi?,Không
160 cm,70 kg,2,Không ?n,T? 1 - 3 b?a/tu?n,Không ?n,Ít h?n 50 gram,T? 2 - 3 lít,T? 50 - 100 gram,Trên 3 gi?,G?n nh? không,Không,Không,7,1,Không,8,Không
1m73,68,2,T? 3 - 6 b?a/tu?n,M?i ngày,Không ?n,T? 50 - 100 gram,Ít h?n 1 lít,Ít h?n 50 gram,G?n nh? không,D??i 2 gi?,Không,Không,8,1,Không,4,Không
157,51,3,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 3 - 6 b?a/tu?n,T? 50 - 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,T? 1 - 3 gi?,D??i 2 gi?,Ít,Không,8 gi?,4,Có,5h/ngày,Không
158,60,3,M?i ngày,Không ?n,Không ?n,Trên 100 gram,T? 1 - 2 lít,Trên 100 gram,T? 1 - 3 gi?,G?n nh? không,Không,Không,7 ti?ng,3,Không,5/1,Không
158cm,57kg,3,T? 3 - 6 b?a/tu?n,Không ?n,Không ?n,Ít h?n 50 gram,Ít h?n 1 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,7 ti?ng,2,Không,10/ngày,Không
1m72,48,3,T? 3 - 6 b?a/tu?n,Không ?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,9,1,Không,15p,Không
1m64,53kg,3,T? 3 - 6 b?a/tu?n,Không ?n,Không ?n,Trên 100 gram,T? 1 - 2 lít,Trên 100 gram,G?n nh? không,D??i 2 gi?,Không,Không,10h,2,Không,4h,Không
1m68,61,3,M?i ngày,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,D??i 1 gi?,T? 2 - 4 gi?,Không,Không,6 ti?ng,3,Có,2 ti?ng ??n 3 ti?ng,Có
160cm,65kg,3,M?i ngày,T? 1 - 3 b?a/tu?n,Không ?n,Ít h?n 50 gram,Ít h?n 1 lít,Ít h?n 50 gram,G?n nh? không,D??i 2 gi?,Không,Không,7h,1,Không,6h,Không
162cm,51kg,2,T? 1 - 3 b?a/tu?n,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,Ít h?n 1 lít,Trên 100 gram,T? 1 - 3 gi?,D??i 2 gi?,Không,Không,7 ti?ng,1,Không,3 gi?,Có
150,49,2,T? 1 - 3 b?a/tu?n,Không ?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,D??i 2 gi?,Ít,Không,5tieng,3,Không,4,Có
172cm,56kg,3,M?i ngày,Không ?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,Trên 3 gi?,Trên 4 gi?,Không,Không,8-9 ti?ng,1,Không,5,Không
1m59,50kg,2,Không ?n,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Trên 100 gram,T? 1 - 2 lít,Ít h?n 50 gram,D??i 1 gi?,T? 2 - 4 gi?,Ít,Không,T? 1-4ti?ng,3,Có,3-10 ti?ng/ngày,Không
1m51,41,3,M?i ngày,Không ?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 2 - 3 lít,Trên 100 gram,T? 1 - 3 gi?,D??i 2 gi?,Không,Không,6 ti?ng,4,Không,4 ti?ng,Không
165,58,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,T? 1 - 3 gi?,G?n nh? không,Ít,Không,7,1,Không,3,Không
1m58,58,3,M?i ngày,Không ?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,Trên 3 gi?,T? 2 - 4 gi?,Không,Không,6h,3,Có,2h,Không
175,70,3,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Trên 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,T? 2 - 4 gi?,Trung bình,Không,7 ti?ng,3,Có,4h,Không
1m56,40kg,3,T? 1 - 3 b?a/tu?n,Không ?n,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,Ít h?n 1 lít,T? 50 - 100 gram,G?n nh? không,D??i 2 gi?,Không,Không,9 ti?ng,2,Không,8 gi?/ngày,Không
1m63,42kg,3,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Không,Không,10 ti?ng,1,Có,4 gi? ,Có
1m64,55kg,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,Ít h?n 50 gram,D??i 1 gi?,D??i 2 gi?,Trung bình,Không,8 ti?ng,3,Không,Không,Không
1.74,78,3,T? 1 - 3 b?a/tu?n,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,Trên 100 gram,T? 1 - 3 gi?,Trên 4 gi?,Trung bình,Không,7 ti?ng,3,Không,3-5 ti?ng,Không
168,60,3,M?i ngày,T? 1 - 3 b?a/tu?n,Không ?n,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,Trên 3 gi?,G?n nh? không,Ít,Không,5,2,Có,15,Không
173,62,3,M?i ngày,Không ?n,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,T? 2 - 3 lít,T? 50 - 100 gram,T? 1 - 3 gi?,G?n nh? không,Ít,Không,6,2,Có,12,Không
165,78,3,T? 3 - 6 b?a/tu?n,T? 3 - 6 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,Trên 100 gram,D??i 1 gi?,D??i 2 gi?,Nhi?u,Có,5,2,Có,16,Không
166,60,3,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,T? 1 - 2 lít,Ít h?n 50 gram,T? 1 - 3 gi?,D??i 2 gi?,Ít,Không,5h,4,Có,14,Không
1.68 m,65kg,3,M?i ngày,Không ?n,Không ?n,Trên 100 gram,T? 2 - 3 lít,Trên 100 gram,Trên 3 gi?,D??i 2 gi?,Ít,Không,7 ti?ng,1,Không,12h,Không
1.65,68,3,M?i ngày,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,Trên 3 gi?,D??i 2 gi?,Ít,Không,6h,2,Có,16h,Không
170,50,2,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Không ?n,Trên 100 gram,Ít h?n 1 lít,Ít h?n 50 gram,D??i 1 gi?,D??i 2 gi?,Ít,Không,6h,1,Có,2h,Có
1m70,48,2,Không ?n,T? 1 - 3 b?a/tu?n,Không ?n,Ít h?n 50 gram,T? 1 - 2 lít,Ít h?n 50 gram,G?n nh? không,D??i 2 gi?,Nhi?u,Không,7,1,Không,16,Có
1m6,43kg,3,T? 1 - 3 b?a/tu?n,M?i ngày,Không ?n,T? 50 - 100 gram,Ít h?n 1 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Không,Không,6-8 ti?ng,2,Không,3 gi?,Có
46,46,2,M?i ngày,M?i ngày,Không ?n,Trên 100 gram,Trên 3 lít,Ít h?n 50 gram,G?n nh? không,G?n nh? không,Không,Không,8tiê?ng ,5,Có, 20 phu?t ,Không
156,80,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,Trên 3 lít,Ít h?n 50 gram,D??i 1 gi?,G?n nh? không,Ít,Không,7h,1,Có,14,Không
157,46,2,M?i ngày,M?i ngày,Không ?n,Trên 100 gram,Trên 3 lít,Ít h?n 50 gram,G?n nh? không,G?n nh? không,Không,Không,8tiê?ng ,5,Có,20phu?t ,Không
172,62,2,M?i ngày,Không ?n,Không ?n,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,Trên 3 gi?,G?n nh? không,Nhi?u,Có,3h,1,Không,21h,Có
170,73,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Ít,Không,7,2,Có,16,Có
165,50,4,M?i ngày,Không ?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,T? 1 - 3 gi?,Trên 4 gi?,Trung bình,Không,7,1,Có,12,Có
168cm,69kg,2,T? 1 - 3 b?a/tu?n,Không ?n,Không ?n,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Không,Không,60 phút,1,Không,10 gi?,Có
165,68,3,M?i ngày,M?i ngày,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,Ít h?n 50 gram,D??i 1 gi?,D??i 2 gi?,Ít,Không,6h,1,Có,14,Không
1m53,40kg,3,T? 1 - 3 b?a/tu?n,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,Trên 100 gram,T? 1 - 3 gi?,D??i 2 gi?,Không,Không,7-8 ti?ng,1,Có,3 gi?/ngày,Không
169,75,2,Không ?n,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Ít,Không,7 ti?ng,2,Không,5,Không
163,65,3,M?i ngày,Không ?n,Không ?n,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Ít,Không,6.5h,1,Không,> 8h,Không
163,65,3,M?i ngày,Không ?n,Không ?n,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Ít,Không,6.5h,1,Không,> 8h,Không
165,45,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,Trên 3 lít,Ít h?n 50 gram,G?n nh? không,G?n nh? không,Ít,Không,8,1,Có,10,Có
1m62,59,3,T? 1 - 3 b?a/tu?n,Không ?n,Không ?n,Ít h?n 50 gram,T? 2 - 3 lít,Ít h?n 50 gram,D??i 1 gi?,G?n nh? không,Trung bình,Không,8,2,Có,2,Không
168,61,4,M?i ngày,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Ít,Không,6,1,Có,14,Không
1m49,40,3,M?i ngày,M?i ngày,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,T? 2 - 4 gi?,Không,Không,11 ti?ng ,2,Có,1 ti?ng,Không
1m73,52kg,4,T? 3 - 6 b?a/tu?n,T? 3 - 6 b?a/tu?n,T? 3 - 6 b?a/tu?n,T? 50 - 100 gram,Ít h?n 1 lít,Ít h?n 50 gram,T? 1 - 3 gi?,D??i 2 gi?,Không,Không,8 ti?ng,1,Có,4 ti?ng,Không
1m55,47,3,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,Ít h?n 50 gram,Trên 3 gi?,Trên 4 gi?,Ít,Không,8 ti?ng,3,Không,Lúc r?nh,Không
1m63,51kg,3,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,8h,1,Có,1-3gi?,Không
162,40,2,Không ?n,Không ?n,Không ?n,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Không,Không,8 gi?,3,Không,5 gi?,Không
1m65,58kg,4,T? 3 - 6 b?a/tu?n,T? 3 - 6 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,Trên 3 gi?,T? 2 - 4 gi?,Ít,Không,6h,3,Không,5h,Có
160,58,2,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,Ít h?n 1 lít,Ít h?n 50 gram,T? 1 - 3 gi?,G?n nh? không,Không,Không,8 ti?ng,3,Không,4,Không
168,61,4,M?i ngày,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Ít,Không,6,1,Có,14,Không
1m6 ,45,3,T? 1 - 3 b?a/tu?n,Không ?n,Không ?n,Ít h?n 50 gram,Ít h?n 1 lít,Ít h?n 50 gram,G?n nh? không,G?n nh? không,Ít,Không,T? 7 ??n 8 ti?ng ,1,Không,4 ??n5 gi?,Có
1.65,50,3,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,T? 1 - 3 gi?,D??i 2 gi?,Ít,Không,5-6 gi?,4,Không,3-4,Không
1m55,55kg,3,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,Không ?n,Trên 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,D??i 2 gi?,Không,Không,8 ti?ng,2,Không,Kho?ng 12h ,Không
160,52,3,M?i ngày,Không ?n,Không ?n,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Không,Không,6 ti?ng,1,Có,3,Không
130,21,2,M?i ngày,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,Ít h?n 1 lít,T? 50 - 100 gram,G?n nh? không,D??i 2 gi?,Không,Không,9,1,Không,6,Không
150,45,3,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,T? 1 - 2 lít,Trên 100 gram,T? 1 - 3 gi?,G?n nh? không,Không,Không,11,2,Không,4,Không
175,55,3,M?i ngày,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,Trên 100 gram,Trên 3 gi?,Trên 4 gi?,Không,Có,6 ti?ng,1,Có,6 ti?ng,Không
1.74,86,3,M?i ngày,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 2 - 3 lít,Trên 100 gram,D??i 1 gi?,G?n nh? không,Không,Không,8,1,Có,5,Không
1m70,70,3,T? 3 - 6 b?a/tu?n,Không ?n,Không ?n,Trên 100 gram,T? 1 - 2 lít,Trên 100 gram,D??i 1 gi?,G?n nh? không,Không,Không,6g,3,Không,7g,Không
152,43.5,2,T? 1 - 3 b?a/tu?n,M?i ngày,Không ?n,T? 50 - 100 gram,Ít h?n 1 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Ít,Không,7 ti?ng ,2,Không,trên 10,Không
164,49,3,M?i ngày,Không ?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Ít,Không,5h,3,Có,5h,Không
1m51,36,3,M?i ngày,M?i ngày,T? 1 - 3 b?a/tu?n,Trên 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Ít,Không,8h,2,Có,5h,Không
1m61,51.7,3,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 3 - 6 b?a/tu?n,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Không,Không,7 gi?,1,Không,8 gi?,Có
157,57,3,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,Không ?n,Ít h?n 50 gram,T? 2 - 3 lít,T? 50 - 100 gram,T? 1 - 3 gi?,G?n nh? không,Không,Không,6,2,Không,10/24,Không
160,52,3,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,Ít h?n 1 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Không,Không,7-8 ti?ng,1,Không,C? ngày,Không
1m6,48,3,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Trên 100 gram,T? 1 - 2 lít,Ít h?n 50 gram,D??i 1 gi?,G?n nh? không,Không,Không,6h,2,Không,4,Không
167,87,3,T? 3 - 6 b?a/tu?n,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,6 ti?ng,2,Không,10h,Không
1m82,75,2,T? 1 - 3 b?a/tu?n,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,Trên 100 gram,D??i 1 gi?,G?n nh? không,Không,Không,9h,3,Không,12,Không
176,73,3,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,Trên 4 gi?,Ít,Có,4 ti?ng,2,Có,12 ti?ng,Không
175,75,3,T? 1 - 3 b?a/tu?n,Không ?n,T? 3 - 6 b?a/tu?n,Ít h?n 50 gram,T? 2 - 3 lít,T? 50 - 100 gram,T? 1 - 3 gi?,Trên 4 gi?,Trung bình,Không,8,1,Có,10,Không
157cm,45kg,3,T? 3 - 6 b?a/tu?n,Không ?n,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,Ít h?n 1 lít,Trên 100 gram,Trên 3 gi?,D??i 2 gi?,Không,Không,7 ti?ng,1,Không,4 ti?ng,Không
150,43,3,M?i ngày,M?i ngày,Không ?n,Ít h?n 50 gram,Ít h?n 1 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Không,Không,6,3,Không,Nhìu,Không
160,53,2,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Ít,Không,8-9 ti?ng,3,Không,10h/ngày,Không
173,58,3,M?i ngày,Không ?n,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,Ít h?n 1 lít,Ít h?n 50 gram,G?n nh? không,T? 2 - 4 gi?,Trung bình,Không,9h,1,Có,8h,Không
1m52,38kg,3,T? 1 - 3 b?a/tu?n,T? 3 - 6 b?a/tu?n,M?i ngày,T? 50 - 100 gram,T? 1 - 2 lít,Trên 100 gram,G?n nh? không,G?n nh? không,Không,Không,10 - 12 ti?ng,1,Có,5 ti?ng,Không
174,67,3,Không ?n,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,T? 1 - 2 lít,Trên 100 gram,G?n nh? không,G?n nh? không,Trung bình,Có,8,1,Không,12,Không
172,80,3,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Không ?n,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,T? 1 - 3 gi?,G?n nh? không,Nhi?u,Không,5,3,Không,8,Không
1m69,70,3,M?i ngày,Không ?n,Không ?n,Ít h?n 50 gram,Ít h?n 1 lít,Ít h?n 50 gram,G?n nh? không,G?n nh? không,Không,Không,6,2,Có,5,Không
165,68,3,M?i ngày,Không ?n,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Nhi?u,Không,6-7 ti?ng,3,Không,6 ti?ng,Không
1.73,67kg,3,M?i ngày,Không ?n,Không ?n,Trên 100 gram,T? 1 - 2 lít,Trên 100 gram,D??i 1 gi?,G?n nh? không,Th??ng xuyên,Không,7tieng,5,Không,5,Không
1.57,55,3,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Trung bình,Không,6 - 7h,1,Không,18h,Không
1m57,57,3,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,Trên 3 gi?,D??i 2 gi?,Trung bình,Không,7,2,Không,8-10,Không
1m85,60,3,M?i ngày,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,Trên 3 gi?,Trên 4 gi?,Không,Không,7h,3,Có,30 phút,Không
163,46,3,T? 1 - 3 b?a/tu?n,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Ít,Không,6h,1,Có,10h,Không
1m53,43,3,M?i ngày,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Trung bình,Không,9h,2,Có,1 ngày /8h,Không
170,69,3,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,Trên 4 gi?,Trung bình,Không,6,3,Có,5,Không
165 cm,"48,5 kg",2,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,Ít h?n 1 lít,T? 50 - 100 gram,Trên 3 gi?,Trên 4 gi?,Không,Không,5 ti?ng,1,Không,8 ti?ng,Không
167,72,3,M?i ngày,M?i ngày,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,Trên 100 gram,Trên 3 gi?,Trên 4 gi?,Trung bình,Không,7h,3,Không,8,Không
1m70,57 kg,3,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,Ít h?n 50 gram,G?n nh? không,G?n nh? không,Ít,Không,8 ti?ng,4,Có,8 gi?/ngày,Không
1m54,"44,5kg",3,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Không ?n,Ít h?n 50 gram,T? 2 - 3 lít,Ít h?n 50 gram,Trên 3 gi?,Trên 4 gi?,Không,Không,8 ti?ng ,2,Không,24/24,Có
167,55,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,Ít h?n 50 gram,D??i 1 gi?,G?n nh? không,Ít,Không,8,1,Có,4,Có
169,80,3,M?i ngày,Không ?n,T? 1 - 3 b?a/tu?n,Trên 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Ít,Không,5,1,Không,5,Không
156,50,3,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Không ?n,Trên 100 gram,Ít h?n 1 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Không,Không,8 ti?ng,1,Có,10 ti?ng,Không
1760,65,4,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,Trên 3 gi?,Trên 4 gi?,Trung bình,Không,7 ti?ng,3,Có,5,Không
